support,itemsets
0.1794400163498876,frozenset({'Apples'})
0.1794400163498876,frozenset({'Bananas'})
0.17024320457796852,frozenset({'Beef'})
0.1759656652360515,frozenset({'Bread'})
0.1797465767422849,frozenset({'Butter'})
0.18322092785612099,frozenset({'Carrots'})
0.17698753321070917,frozenset({'Cereal'})
0.17586347843858574,frozenset({'Cheese'})
0.17872470876762722,frozenset({'Chicken'})
0.18189249948906602,frozenset({'Eggs'})
0.17872470876762722,frozenset({'Fish'})
0.17075413856529736,frozenset({'Juice'})
0.18168812589413447,frozenset({'Milk'})
0.1815859390966687,frozenset({'Onions'})
0.17964438994481913,frozenset({'Oranges'})
0.17739628040057226,frozenset({'Pasta'})
0.17800940118536684,frozenset({'Potatoes'})
0.17146944614755774,frozenset({'Rice'})
0.17729409360310647,frozenset({'Snacks'})
0.17841814837522993,frozenset({'Tomato Sauce'})
0.03443695074596362,"frozenset({'Bananas', 'Apples'})"
0.030962599632127528,"frozenset({'Beef', 'Apples'})"
0.03300633558144288,"frozenset({'Bread', 'Apples'})"
0.034028203556100554,"frozenset({'Butter', 'Apples'})"
0.034334763948497854,"frozenset({'Carrots', 'Apples'})"
0.03310852237890864,"frozenset({'Cereal', 'Apples'})"
0.030042918454935622,"frozenset({'Cheese', 'Apples'})"
0.03310852237890864,"frozenset({'Chicken', 'Apples'})"
0.034641324340895153,"frozenset({'Eggs', 'Apples'})"
0.03372164316370325,"frozenset({'Fish', 'Apples'})"
0.03249540159411404,"frozenset({'Juice', 'Apples'})"
0.0319844676067852,"frozenset({'Milk', 'Apples'})"
0.034743511138360925,"frozenset({'Onions', 'Apples'})"
0.030758226037195996,"frozenset({'Oranges', 'Apples'})"
0.03280196198651134,"frozenset({'Pasta', 'Apples'})"
0.030247292049867158,"frozenset({'Potatoes', 'Apples'})"
0.029327610872675252,"frozenset({'Rice', 'Apples'})"
0.03249540159411404,"frozenset({'Snacks', 'Apples'})"
0.03300633558144288,"frozenset({'Apples', 'Tomato Sauce'})"
0.031166973227059063,"frozenset({'Beef', 'Bananas'})"
0.03249540159411404,"frozenset({'Bananas', 'Bread'})"
0.034028203556100554,"frozenset({'Butter', 'Bananas'})"
0.03392601675863478,"frozenset({'Bananas', 'Carrots'})"
0.032904148783977114,"frozenset({'Bananas', 'Cereal'})"
0.03321070917637441,"frozenset({'Bananas', 'Cheese'})"
0.03525444512568976,"frozenset({'Chicken', 'Bananas'})"
0.03310852237890864,"frozenset({'Bananas', 'Eggs'})"
0.03423257715103209,"frozenset({'Bananas', 'Fish'})"
0.028816676885346414,"frozenset({'Bananas', 'Juice'})"
0.034334763948497854,"frozenset({'Bananas', 'Milk'})"
0.03126916002452483,"frozenset({'Bananas', 'Onions'})"
0.03188228080931944,"frozenset({'Oranges', 'Bananas'})"
0.03259758839157981,"frozenset({'Bananas', 'Pasta'})"
0.03126916002452483,"frozenset({'Bananas', 'Potatoes'})"
0.030042918454935622,"frozenset({'Bananas', 'Rice'})"
0.030656039239730228,"frozenset({'Bananas', 'Snacks'})"
0.032188841201716736,"frozenset({'Bananas', 'Tomato Sauce'})"
0.030758226037195996,"frozenset({'Beef', 'Bread'})"
0.030758226037195996,"frozenset({'Beef', 'Butter'})"
0.03331289597384018,"frozenset({'Beef', 'Carrots'})"
0.03249540159411404,"frozenset({'Beef', 'Cereal'})"
0.028816676885346414,"frozenset({'Beef', 'Cheese'})"
0.030042918454935622,"frozenset({'Chicken', 'Beef'})"
0.03269977518904558,"frozenset({'Beef', 'Eggs'})"
0.03280196198651134,"frozenset({'Beef', 'Fish'})"
0.02902105048027795,"frozenset({'Beef', 'Juice'})"
0.029838544860004087,"frozenset({'Beef', 'Milk'})"
0.03014510525240139,"frozenset({'Beef', 'Onions'})"
0.0313713468219906,"frozenset({'Beef', 'Oranges'})"
0.03157572041692213,"frozenset({'Beef', 'Pasta'})"
0.031064786429593295,"frozenset({'Beef', 'Potatoes'})"
0.029327610872675252,"frozenset({'Beef', 'Rice'})"
0.031780094011853666,"frozenset({'Beef', 'Snacks'})"
0.03055385244226446,"frozenset({'Beef', 'Tomato Sauce'})"
0.03259758839157981,"frozenset({'Butter', 'Bread'})"
0.03259758839157981,"frozenset({'Carrots', 'Bread'})"
0.03229102799918251,"frozenset({'Cereal', 'Bread'})"
0.03423257715103209,"frozenset({'Cheese', 'Bread'})"
0.03229102799918251,"frozenset({'Chicken', 'Bread'})"
0.03208665440425097,"frozenset({'Eggs', 'Bread'})"
0.0357653791130186,"frozenset({'Bread', 'Fish'})"
0.03055385244226446,"frozenset({'Juice', 'Bread'})"
0.03229102799918251,"frozenset({'Milk', 'Bread'})"
0.030247292049867158,"frozenset({'Onions', 'Bread'})"
0.0319844676067852,"frozenset({'Oranges', 'Bread'})"
0.031780094011853666,"frozenset({'Pasta', 'Bread'})"
0.02973635806253832,"frozenset({'Potatoes', 'Bread'})"
0.03086041283466176,"frozenset({'Rice', 'Bread'})"
0.03208665440425097,"frozenset({'Snacks', 'Bread'})"
0.03126916002452483,"frozenset({'Bread', 'Tomato Sauce'})"
0.034028203556100554,"frozenset({'Butter', 'Carrots'})"
0.030042918454935622,"frozenset({'Butter', 'Cereal'})"
0.035458818720621295,"frozenset({'Butter', 'Cheese'})"
0.029838544860004087,"frozenset({'Chicken', 'Butter'})"
0.035867565910484366,"frozenset({'Butter', 'Eggs'})"
0.03382382996116902,"frozenset({'Butter', 'Fish'})"
0.02902105048027795,"frozenset({'Butter', 'Juice'})"
0.03382382996116902,"frozenset({'Butter', 'Milk'})"
0.034743511138360925,"frozenset({'Butter', 'Onions'})"
0.03280196198651134,"frozenset({'Butter', 'Oranges'})"
0.030247292049867158,"frozenset({'Butter', 'Pasta'})"
0.03331289597384018,"frozenset({'Butter', 'Potatoes'})"
0.030758226037195996,"frozenset({'Butter', 'Rice'})"
0.029429797670141016,"frozenset({'Butter', 'Snacks'})"
0.03126916002452483,"frozenset({'Butter', 'Tomato Sauce'})"
0.03269977518904558,"frozenset({'Cereal', 'Carrots'})"
0.029940731657469855,"frozenset({'Cheese', 'Carrots'})"
0.03525444512568976,"frozenset({'Chicken', 'Carrots'})"
0.034743511138360925,"frozenset({'Carrots', 'Eggs'})"
0.03157572041692213,"frozenset({'Carrots', 'Fish'})"
0.03269977518904558,"frozenset({'Juice', 'Carrots'})"
0.035458818720621295,"frozenset({'Milk', 'Carrots'})"
0.034641324340895153,"frozenset({'Onions', 'Carrots'})"
0.0316779072143879,"frozenset({'Oranges', 'Carrots'})"
0.035458818720621295,"frozenset({'Pasta', 'Carrots'})"
0.03372164316370325,"frozenset({'Carrots', 'Potatoes'})"
0.02902105048027795,"frozenset({'Carrots', 'Rice'})"
0.03351726956877171,"frozenset({'Snacks', 'Carrots'})"
0.03413039035356632,"frozenset({'Carrots', 'Tomato Sauce'})"
0.03269977518904558,"frozenset({'Cereal', 'Cheese'})"
0.03300633558144288,"frozenset({'Chicken', 'Cereal'})"
0.03525444512568976,"frozenset({'Cereal', 'Eggs'})"
0.031166973227059063,"frozenset({'Cereal', 'Fish'})"
0.031473533619456366,"frozenset({'Cereal', 'Juice'})"
0.03331289597384018,"frozenset({'Milk', 'Cereal'})"
0.03351726956877171,"frozenset({'Onions', 'Cereal'})"
0.03596975270795013,"frozenset({'Oranges', 'Cereal'})"
0.03239321479664827,"frozenset({'Pasta', 'Cereal'})"
0.03372164316370325,"frozenset({'Cereal', 'Potatoes'})"
0.03269977518904558,"frozenset({'Cereal', 'Rice'})"
0.03269977518904558,"frozenset({'Snacks', 'Cereal'})"
0.03280196198651134,"frozenset({'Cereal', 'Tomato Sauce'})"
0.03453913754342939,"frozenset({'Chicken', 'Cheese'})"
0.03208665440425097,"frozenset({'Cheese', 'Eggs'})"
0.03351726956877171,"frozenset({'Cheese', 'Fish'})"
0.03239321479664827,"frozenset({'Cheese', 'Juice'})"
0.03229102799918251,"frozenset({'Milk', 'Cheese'})"
0.031780094011853666,"frozenset({'Onions', 'Cheese'})"
0.03269977518904558,"frozenset({'Oranges', 'Cheese'})"
0.03269977518904558,"frozenset({'Pasta', 'Cheese'})"
0.031473533619456366,"frozenset({'Cheese', 'Potatoes'})"
0.03126916002452483,"frozenset({'Cheese', 'Rice'})"
0.028816676885346414,"frozenset({'Snacks', 'Cheese'})"
0.03423257715103209,"frozenset({'Cheese', 'Tomato Sauce'})"
0.032188841201716736,"frozenset({'Chicken', 'Eggs'})"
0.03229102799918251,"frozenset({'Chicken', 'Fish'})"
0.030349478847332925,"frozenset({'Chicken', 'Juice'})"
0.035561005518087066,"frozenset({'Chicken', 'Milk'})"
0.03382382996116902,"frozenset({'Chicken', 'Onions'})"
0.03229102799918251,"frozenset({'Chicken', 'Oranges'})"
0.03229102799918251,"frozenset({'Chicken', 'Pasta'})"
0.0319844676067852,"frozenset({'Chicken', 'Potatoes'})"
0.03126916002452483,"frozenset({'Chicken', 'Rice'})"
0.03157572041692213,"frozenset({'Chicken', 'Snacks'})"
0.03382382996116902,"frozenset({'Chicken', 'Tomato Sauce'})"
0.0319844676067852,"frozenset({'Eggs', 'Fish'})"
0.03208665440425097,"frozenset({'Juice', 'Eggs'})"
0.03208665440425097,"frozenset({'Milk', 'Eggs'})"
0.035050071530758224,"frozenset({'Onions', 'Eggs'})"
0.0316779072143879,"frozenset({'Oranges', 'Eggs'})"
0.03188228080931944,"frozenset({'Pasta', 'Eggs'})"
0.03484569793582669,"frozenset({'Eggs', 'Potatoes'})"
0.030962599632127528,"frozenset({'Rice', 'Eggs'})"
0.03423257715103209,"frozenset({'Snacks', 'Eggs'})"
0.03382382996116902,"frozenset({'Eggs', 'Tomato Sauce'})"
0.032188841201716736,"frozenset({'Juice', 'Fish'})"
0.032904148783977114,"frozenset({'Milk', 'Fish'})"
0.03382382996116902,"frozenset({'Onions', 'Fish'})"
0.032904148783977114,"frozenset({'Oranges', 'Fish'})"
0.02963417126507255,"frozenset({'Pasta', 'Fish'})"
0.03249540159411404,"frozenset({'Potatoes', 'Fish'})"
0.02861230329041488,"frozenset({'Rice', 'Fish'})"
0.03300633558144288,"frozenset({'Snacks', 'Fish'})"
0.03413039035356632,"frozenset({'Fish', 'Tomato Sauce'})"
0.032188841201716736,"frozenset({'Milk', 'Juice'})"
0.03331289597384018,"frozenset({'Onions', 'Juice'})"
0.02738606172082567,"frozenset({'Oranges', 'Juice'})"
0.029123237277743717,"frozenset({'Pasta', 'Juice'})"
0.0316779072143879,"frozenset({'Juice', 'Potatoes'})"
0.029327610872675252,"frozenset({'Juice', 'Rice'})"
0.0316779072143879,"frozenset({'Snacks', 'Juice'})"
0.031473533619456366,"frozenset({'Juice', 'Tomato Sauce'})"
0.03596975270795013,"frozenset({'Onions', 'Milk'})"
0.034334763948497854,"frozenset({'Oranges', 'Milk'})"
0.03525444512568976,"frozenset({'Pasta', 'Milk'})"
0.03188228080931944,"frozenset({'Milk', 'Potatoes'})"
0.03249540159411404,"frozenset({'Milk', 'Rice'})"
0.03443695074596362,"frozenset({'Snacks', 'Milk'})"
0.03249540159411404,"frozenset({'Milk', 'Tomato Sauce'})"
0.03392601675863478,"frozenset({'Oranges', 'Onions'})"
0.032188841201716736,"frozenset({'Pasta', 'Onions'})"
0.035867565910484366,"frozenset({'Onions', 'Potatoes'})"
0.0319844676067852,"frozenset({'Onions', 'Rice'})"
0.032904148783977114,"frozenset({'Onions', 'Snacks'})"
0.0319844676067852,"frozenset({'Onions', 'Tomato Sauce'})"
0.03413039035356632,"frozenset({'Oranges', 'Pasta'})"
0.03382382996116902,"frozenset({'Oranges', 'Potatoes'})"
0.030042918454935622,"frozenset({'Oranges', 'Rice'})"
0.030656039239730228,"frozenset({'Oranges', 'Snacks'})"
0.030962599632127528,"frozenset({'Oranges', 'Tomato Sauce'})"
0.0313713468219906,"frozenset({'Pasta', 'Potatoes'})"
0.03239321479664827,"frozenset({'Pasta', 'Rice'})"
0.02963417126507255,"frozenset({'Pasta', 'Snacks'})"
0.031166973227059063,"frozenset({'Pasta', 'Tomato Sauce'})"
0.030962599632127528,"frozenset({'Rice', 'Potatoes'})"
0.03157572041692213,"frozenset({'Snacks', 'Potatoes'})"
0.03392601675863478,"frozenset({'Potatoes', 'Tomato Sauce'})"
0.03300633558144288,"frozenset({'Snacks', 'Rice'})"
0.0319844676067852,"frozenset({'Rice', 'Tomato Sauce'})"
0.03157572041692213,"frozenset({'Snacks', 'Tomato Sauce'})"
